"Q:0","Q:1","Q:2","Q:3","Q:4","Q:5","Q:6","Q:7","coordinates:0","coordinates:1","coordinates:2"
0,0,6.0715e-18,0.025795,0.025003,0.3486,0.0030962,1e+05,19.193,26.4,8.8
0,1.0842e-19,0,0.051698,0.0015978,0.27823,0.0026052,1e+05,19.318,26.924,8.8
-1.7347e-18,-2.1684e-19,6.0715e-18,0.069264,-0.012284,0.23727,0.0022538,1e+05,19.399,27.2,8.8
0,5.9631e-18,6.0715e-18,-0.014175,0.16813,0.25818,0.0016826,1e+05,19.027,25.6,9.0763
1.0842e-19,1.4976e-18,0,0.0039581,0.072981,0.25345,0.0013228,1e+05,19.066,25.876,9.0763
8.6736e-19,0,0,0.03334,0.0015742,0.21693,0.0012856,1e+05,19.163,26.4,9.0763
0,2.1684e-19,-3.0358e-18,0.054499,-0.019332,0.17815,0.0011087,1e+05,19.293,26.924,9.0763
0,0,-3.0358e-18,0.066223,-0.035814,0.16222,0.0010873,1e+05,19.377,27.2,9.0763
0,3.0358e-18,-6.0715e-18,-0.00059588,0.15478,0.2348,0.0016237,1e+05,18.957,25.6,9.6
2.1684e-19,0,0,0.023674,0.05559,0.22811,0.00089618,1e+05,18.999,25.876,9.6
0,-7.5894e-19,-2.6021e-18,0.05421,-0.017598,0.20783,0.00084571,1e+05,19.103,26.4,9.6
1.7347e-18,4.3368e-19,-6.0715e-18,0.068696,-0.028079,0.18683,0.00050443,1e+05,19.242,26.924,9.6
-1.7347e-18,-8.6736e-19,-3.0358e-18,0.076448,-0.044518,0.17745,0.00084104,1e+05,19.332,27.2,9.6
0,2.6021e-18,-5.6379e-18,-0.015386,0.12517,0.25379,0.0018363,1e+05,18.906,25.6,10.124
2.1684e-19,0,6.0715e-18,0.016687,0.01394,0.24901,0.00093621,1e+05,18.95,25.876,10.124
4.3368e-19,0,0,0.059517,-0.073075,0.24368,0.00095967,1e+05,19.059,26.4,10.124
0,0,0,0.085781,-0.091334,0.23081,0.00053117,1e+05,19.205,26.924,10.124
0,1.301e-18,0,0.10076,-0.11461,0.21563,0.0010879,1e+05,19.299,27.2,10.124
0,1.301e-18,-3.0358e-18,-0.013662,0.098109,0.1727,0.0022449,1e+05,18.897,25.6,10.4
-4.3368e-19,4.3368e-19,0,0.02091,-0.036208,0.16765,0.0012034,1e+05,18.941,25.876,10.4
0,0,-2.6021e-18,0.071317,-0.1485,0.17644,0.0012941,1e+05,19.051,26.4,10.4
1.7347e-18,-3.0358e-18,0,0.11102,-0.18231,0.18003,0.00085366,1e+05,19.199,26.924,10.4
0,6.0715e-18,-3.0358e-18,0.13414,-0.21612,0.17161,0.001548,1e+05,19.293,27.2,10.4
0,0,6.0715e-18,-0.1339,0.28127,0.17609,0.0025985,1e+05,18.897,25.6,10.4
0,2.8189e-18,-6.0715e-18,-0.1089,0.14615,0.17125,0.0016273,1e+05,18.941,25.876,10.4
0,-1.5179e-18,3.4694e-18,-0.074088,0.09051,0.18,0.0013473,1e+05,19.051,26.4,10.4
0,1.5179e-18,-3.4694e-18,-0.060895,0.1147,0.18435,0.00095545,1e+05,19.199,26.924,10.4
0,0,3.0358e-18,-0.047805,0.09038,0.17675,0.00078108,1e+05,19.293,27.2,10.4
-8.6736e-19,3.0358e-18,0,-0.11415,0.20679,0.22299,0.001617,1e+05,18.891,25.6,10.676
0,0,0,-0.093327,0.098536,0.1957,0.00074535,1e+05,18.936,25.876,10.676
-4.3368e-19,-1.0842e-18,-6.0715e-18,-0.061864,0.031426,0.18899,0.00074111,1e+05,19.046,26.4,10.676
8.6736e-19,0,6.0715e-18,-0.036556,0.025494,0.1937,0.00032654,1e+05,19.195,26.924,10.676
-8.6736e-19,0,0,-0.01626,-0.0012735,0.18551,0.00078691,1e+05,19.289,27.2,10.676
0,3.0358e-18,0,-0.11339,0.18099,0.1301,0.001213,1e+05,18.877,25.6,11.2
0,2.6021e-18,-1.301e-18,-0.093596,0.082653,0.10045,0.00097354,1e+05,18.922,25.876,11.2
4.3368e-19,0,-1.7347e-18,-0.055641,0.0054069,0.091869,0.00084819,1e+05,19.034,26.4,11.2
